Sl No,Paper,URL,Year,Assigned To,Status,Learning_Order,Learning_Stage,Notes File,Category,Notes
3,Predicting Stock Price Changes Based on the Limit Order Book: A Survey (Zaznov et al.),https://www.mdpi.com/2227-7390/10/8/1234,2022,Joseph Raj,Included,1,Stage 1 — Foundation,paper_notes_lob_survey_2022.md,Survey,"START HERE. Full taxonomy of LOB prediction; simulation-to-reality gap; FI-2010 critique. Read before any architecture paper."
7,LOB-based Deep Learning Models for Stock Price Trend Prediction: A Benchmark Study (Prata et al.),https://link.springer.com/article/10.1007/s10462-024-10715-4,2024,Sumanth,Included,8,Stage 3 — Benchmarks,paper_notes_lob_benchmark_2023.md,Benchmark,"FI-2010 generalizability crisis confirmed. BINCTABL best generalizable model. LOBCAST framework. Read after DeepLOB (from prior review)."
5,A Benchmark Study For LOB Models and Time Series Forecasting Models on LOB Data (ICLR 2025),https://openreview.net/forum?id=MhD9rLeU31,2025,Sumanth,Included,9,Stage 3 — Benchmarks,paper_notes_iclr_benchmark_2025.md,Benchmark,"LOB vs general TS models; CVML +244.9% on MPRF; asset transferability test. Read after LOBCAST."
4,Forecasting Mid-price Movements with High-Frequency LOB: A Dual-Stage Temporal Attention DLA (Guo & Chen),https://www.researchgate.net/publication/363490500_Forecasting_the_Mid-price_Movements_with_High-Frequency_LOB_A_Dual-Stage_Temporal_Attention-Based_Deep_Learning_Architecture,2022,Joseph Raj,Included,10,Stage 4 — Attention Architectures,paper_notes_dla_2023.md,LOB Architecture,"Dual temporal attention (input + hidden); 2nd best generalizable in LOBCAST; direct precursor to TLOB."
8,Axial-LOB: High-Frequency Trading with Axial Attention (Kisiel & Gorse),https://ieeexplore.ieee.org/abstract/document/10022284,2022,Sumanth,Included,11,Stage 4 — Attention Architectures,paper_notes_axiallob_2022.md,LOB Architecture,"Factored 2D attention; 9615 params; feature-order invariant. Read alongside DLA as a contrast approach."
2,Short-term stock price trend prediction with imaging high frequency LOB data (Ye et al.),https://www.sciencedirect.com/science/article/abs/pii/S0169207023001073,2023,Joseph Raj,Included,13,Stage 5 — Alternative Representations,paper_notes_imaging_lob_2023.md,LOB Architecture,"LOB as 2D image; CNN image classifier; handles price-scale heterogeneity. Different from attention-based approaches."
16,Deep Hybrid Models for Forecasting Stock Midprices from the High-Frequency Limit Order Book (Nguyen et al.),https://www.researchgate.net/profile/Khuong-Nguyen-An/publication/365586821_Deep_Hybrid_Models_for_Forecasting_Stock_Midprices_from_the_High-Frequency_Limit_Order_Book/links/65394ae81d6e8a70704e48e1/Deep-Hybrid-Models-for-Forecasting-Stock-Midprices-from-the-High-Frequency-Limit-Order-Book.pdf,2022,Abhishek,Included,14,Stage 5 — Alternative Representations,paper_notes_deep_hybrid_lob_2022.md,LOB Architecture,"ResNet50+LSTM; pretrained ImageNet backbone; FDSE 2022 regional conference; no FI-2010 comparison."
1,Deep Limit Order Book Forecasting (Briola et al.),https://arxiv.org/abs/2403.09267,2024,Joseph Raj,Included,15,Stage 5 — Alternative Representations,paper_notes_briola_2024.md,LOB Architecture,"Main capstone paper. deepVOL + deepOF + seq2seq; microstructure priors; p_T metric; Indian market framing."
9,Bayesian Bilinear Neural Network for Predicting Mid-Price Dynamics in LOB Markets (Magris et al.),https://onlinelibrary.wiley.com/doi/full/10.1002/for.2955,2023,Kumar,Included,16,Stage 6 — Probabilistic Methods,paper_notes_bayesian_bilinear_2023.md,LOB Architecture,"VOGN Bayesian TABL; calibrated uncertainty; outperforms MC Dropout; threshold-based trading decisions."
6,Mid-Price Forecasting in Limit Order Books with Gaussian Process Models (Liu),https://trepo.tuni.fi/bitstream/handle/10024/162261/LiuRui.pdf?sequence=2,2024,Sumanth,Included,17,Stage 6 — Probabilistic Methods,paper_notes_gp_lob_2024.md,LOB Architecture,"GPR best for long-horizon regression (+25-32% over TABL); calibrated uncertainty; combined linear+RBF kernel."
22,The Intraday Dynamics Predictor: TrioFlow Fusion of CNN and GRU for HF Price Movement Forecasting (Zaznov et al.),https://www.mdpi.com/2076-3417/14/7/2984,2024,Raghav,Included,18,Stage 6 — Probabilistic Methods,paper_notes_trioflow_2024.md,LOB Architecture,"LOB+OF joint input (70 features); 3-branch CNN+GRU; MICEX Russian dataset; beats DeepLOB. Closest non-US market analog."
24,Deep Limit Order Book Forecasting: A Microstructural Guide (Briola et al.),https://www.tandfonline.com/doi/full/10.1080/14697688.2025.2522911,2025,Saagar,Included,15,Stage 5 — Alternative Representations,paper_notes_briola_2024.md,LOB Architecture,"Duplicate of Sl #1 — journal version of arXiv 2403.09267. Same notes file."
10,A Deep Learning Approach to Estimating Fill Probabilities in a Limit Order Book,https://www.tandfonline.com/doi/abs/10.1080/14697688.2022.2124189,2022,Kumar,Not Included,,,"Different Task","Predicts fill probability per level — different task from mid-price direction prediction"
11,Detecting Multilevel Manipulation from LOB via Cascaded Contrastive Representation Learning,https://arxiv.org/abs/2508.17086,2025,Kumar,Not Included,,,"Different Task","Market manipulation detection — different task; surveillance/regulatory use case"
13,Modeling of Limit Order Book Data with Ordered Fuzzy Numbers,https://www.sciencedirect.com/article/pii/S1568494624003296,2024,Kumar,Not Included,,,"Different Methodology","Fuzzy number representation for LOB — niche math approach; not DL prediction"
14,Spread Movement Prediction for Pairs Trading with High-Frequency Limit Order Data,https://ieeexplore.ieee.org/abstract/document/9736495,2022,Abhishek,Not Included,,,"Different Task","Pairs trading spread prediction — different target variable from mid-price direction"
15,Continuous-time Modeling of Financial Returns Based on Limit Order Book Data,https://www.sciencedirect.com/article/pii/S2405896323005694,2023,Abhishek,Not Included,,,"Different Methodology","Stochastic process / point process modeling — methodology differs from DL classification"
17,Analysis of Enhanced Hidden Markov Models for Improved Stock Market Price Forecasting,https://dl.acm.org/doi/abs/10.1145/3660853.3660922,2024,Abhishek,Not Included,,,"Generic Stock Prediction","HMM-based — not LOB-specific; uses OHLCV not tick data"
18,Stock Market Price Analysis and Prediction of Financial Industry Based on the Time Series Method,https://www.deanfrancis.press/ojs/index.php/te/article/view/1345,2024,Abhishek,Not Included,,,"Generic Stock Prediction","Generic time series prediction — no LOB data; not relevant to LOB survey"
20,Effectiveness of Open High and Low Prices in Stock Market Price Prediction,https://apcz.umk.pl/CJFA/article/view/59253,2025,Raghav,Not Included,,,"Generic Stock Prediction","OHLC-based prediction — not LOB; uses daily/intraday bars not tick data"
21,Stock Market Price Prediction and Forecasting Using Stacked LSTM,https://ijsrem.com/download/stock-market-price-prediction-and-forecasting-using-stacked-lstm/,2024,Raghav,Not Included,,,"Generic Stock Prediction","Generic stacked LSTM tutorial — no LOB data; not relevant to LOB survey"
23,Automated Creation of a High-Performing Algorithmic Trader via Deep Learning on Level-2 LOB Data,https://ieeexplore.ieee.org/abstract/document/9308266,2020,Saagar,Not Included,,,"Different Task","RL-based trading agent creation — different task from mid-price direction prediction"
25,Analyzing the Importance of Broker Identities in the Limit Order Book Through Deep Learning,https://journals.sagepub.com/doi/full/10.1089/big.2020.0053,2020,Saagar,Not Included,,,"Different Methodology","Uses broker identity data unavailable on most exchanges (incl. NSE); different angle"
26,Deep Learning vs. Traditional Machine Learning in Financial Market Predictions,https://www.researchgate.net/publication/393127243_Deep_Learning_vs_Traditional_Machine_Learning_in_Financial_Market_Predictions,2024,Saagar,Not Included,,,"Generic Stock Prediction","Generic DL vs ML comparison — not LOB-specific"
12,Stock Price Analysis and Prediction Using Fully Connected Neural Networks,https://www.researchgate.net/publication/400355284_Stock_Price_Analysis_and_Prediction_Using_Fully_Connected_Neural_Networks,2026,Kumar,Error/Duplicate,,,"Error","Year 2026 is future; same URL as Sl#19 — likely placeholder duplicate entry"
19,Hybrid AI Models for Real-Time Stock Management and Market Price Prediction,https://www.researchgate.net/publication/400355284_Stock_Price_Analysis_and_Prediction_Using_Fully_Complex_Neural_Networks,2026,Raghav,Error/Duplicate,,,"Error","Year 2026 is future; same URL as Sl#12 — duplicate placeholder entry"
27,Deep Learning-based LDL-C Level Prediction and Explainable AI Interpretation,https://www.sciencedirect.com/article/abs/pii/S0010482525002562,2025,Saagar,Error/Duplicate,,,"Error","MEDICAL PAPER — LDL-C is blood cholesterol; entirely off-topic; wrong paper added by mistake"
